function_name,return_type,arg_types,arg_count,dll_name
VariantGetInt16Elem,HRESULT,const VARIANT *const;ULONG;SHORT *,3,propsys.dll
VariantGetUInt16Elem,HRESULT,const VARIANT *const;ULONG;USHORT *,3,propsys.dll
VariantGetInt32Elem,HRESULT,const VARIANT *const;ULONG;LONG *,3,propsys.dll
VariantGetUInt32Elem,HRESULT,const VARIANT *const;ULONG;ULONG *,3,propsys.dll
VariantGetInt64Elem,HRESULT,const VARIANT *const;ULONG;LONGLONG *,3,propsys.dll
VariantGetUInt64Elem,HRESULT,const VARIANT *const;ULONG;ULONGLONG *,3,propsys.dll
VariantGetDoubleElem,HRESULT,const VARIANT *const;ULONG;DOUBLE *,3,propsys.dll
VariantGetStringElem,HRESULT,const VARIANT *const;ULONG;PWSTR *,3,propsys.dll
ClearVariantArray,void,VARIANT *;UINT,2,propsys.dll
VariantCompare,int,const VARIANT *const;const VARIANT *const,2,propsys.dll
RtlIpv4AddressToStringA,PSTR,const struct in_addr *;PSTR,2,ntdll.dll
RtlIpv4AddressToStringExA,LONG,const struct in_addr *;USHORT;PSTR;PULONG,4,ntdll.dll
RtlIpv4AddressToStringW,PWSTR,const struct in_addr *;PWSTR,2,ntdll.dll
RtlIpv4AddressToStringExW,LONG,const struct in_addr *;USHORT;PWSTR;PULONG,4,ntdll.dll
RtlIpv4StringToAddressA,LONG,PCSTR;BOOLEAN;PCSTR *;struct in_addr *,4,ntdll.dll
RtlIpv4StringToAddressExA,LONG,PCSTR;BOOLEAN;struct in_addr *;PUSHORT,4,ntdll.dll
RtlIpv4StringToAddressW,LONG,PCWSTR;BOOLEAN;LPCWSTR *;struct in_addr *,4,ntdll.dll
RtlIpv4StringToAddressExW,LONG,PCWSTR;BOOLEAN;struct in_addr *;PUSHORT,4,ntdll.dll
RtlIpv6AddressToStringA,PSTR,const struct in6_addr *;PSTR,2,ntdll.dll
RtlIpv6AddressToStringExA,LONG,const struct in6_addr *;ULONG;USHORT;PSTR;PULONG,5,ntdll.dll
RtlIpv6AddressToStringW,PWSTR,const struct in6_addr *;PWSTR,2,ntdll.dll
RtlIpv6AddressToStringExW,LONG,const struct in6_addr *;ULONG;USHORT;PWSTR;PULONG,5,ntdll.dll
RtlIpv6StringToAddressA,LONG,PCSTR;PCSTR *;struct in6_addr *,3,ntdll.dll
RtlIpv6StringToAddressExA,LONG,PCSTR;struct in6_addr *;PULONG;PUSHORT,4,ntdll.dll
RtlIpv6StringToAddressW,LONG,PCWSTR;PCWSTR *;struct in6_addr *,3,ntdll.dll
RtlIpv6StringToAddressExW,LONG,PCWSTR;struct in6_addr *;PULONG;PUSHORT,4,ntdll.dll
RtlEthernetAddressToStringA,PSTR,const DL_EUI48 *;PSTR,2,ntdll.dll
RtlEthernetAddressToStringW,PWSTR,const DL_EUI48 *;PWSTR,2,ntdll.dll
RtlEthernetStringToAddressA,LONG,PCSTR;PCSTR *;DL_EUI48 *,3,ntdll.dll
RtlEthernetStringToAddressW,LONG,PCWSTR;LPCWSTR *;DL_EUI48 *,3,ntdll.dll
QOSCreateHandle,BOOL,PQOS_VERSION;PHANDLE,2,qwave.dll
QOSCloseHandle,BOOL,HANDLE,1,qwave.dll
QOSStartTrackingClient,BOOL,HANDLE;PSOCKADDR;DWORD,3,qwave.dll
QOSStopTrackingClient,BOOL,HANDLE;PSOCKADDR;DWORD,3,qwave.dll
QOSEnumerateFlows,BOOL,HANDLE;PULONG;PVOID,3,qwave.dll
QOSAddSocketToFlow,BOOL,HANDLE;SOCKET;PSOCKADDR;QOS_TRAFFIC_TYPE;DWORD;PQOS_FLOWID,6,qwave.dll
QOSRemoveSocketFromFlow,BOOL,HANDLE;SOCKET;QOS_FLOWID;DWORD,4,qwave.dll
QOSSetFlow,BOOL,HANDLE;QOS_FLOWID;QOS_SET_FLOW;ULONG;PVOID;DWORD;LPOVERLAPPED,7,qwave.dll
QOSQueryFlow,BOOL,HANDLE;QOS_FLOWID;QOS_QUERY_FLOW;PULONG;PVOID;DWORD;LPOVERLAPPED,7,qwave.dll
QOSNotifyFlow,BOOL,HANDLE;QOS_FLOWID;QOS_NOTIFY_FLOW;PULONG;PVOID;DWORD;LPOVERLAPPED,7,qwave.dll
QOSCancel,BOOL,HANDLE;LPOVERLAPPED,2,qwave.dll
RasSecurityDialogSend,int,HPORT;int;int,3,rasman.dll
RasSecurityDialogReceive,int,HPORT;int;int;DWORD;int,5,rasman.dll
RasSecurityDialogGetInfo,int,HPORT;RAS_SECURITY_INFO *,2,rasman.dll
RatingEnable,HRESULT,HWND;LPCSTR;BOOL,3,msrating.dll
RatingEnableW,HRESULT,HWND;LPCWSTR;BOOL,3,msrating.dll
RatingCheckUserAccess,HRESULT,LPCSTR;LPCSTR;LPCSTR;LPBYTE;DWORD;void **,6,msrating.dll
RatingCheckUserAccessW,HRESULT,LPCWSTR;LPCWSTR;LPCWSTR;LPBYTE;DWORD;void **,6,msrating.dll
RatingAccessDeniedDialog,HRESULT,HWND;LPCSTR;LPCSTR;void *,4,msrating.dll
RatingAccessDeniedDialogW,HRESULT,HWND;LPCWSTR;LPCWSTR;void *,4,msrating.dll
RatingAccessDeniedDialog2,HRESULT,HWND;LPCSTR;void *,3,msrating.dll
RatingAccessDeniedDialog2W,HRESULT,HWND;LPCWSTR;void *,3,msrating.dll
RatingFreeDetails,HRESULT,void *,1,msrating.dll
RatingObtainCancel,HRESULT,HANDLE,1,msrating.dll
RatingObtainQuery,HRESULT,"LPCSTR;DWORD;void (*)(DWORD, HRESULT, LPCSTR, void *);HANDLE *",4,msrating.dll
RatingObtainQueryW,HRESULT,"LPCWSTR;DWORD;void (*)(DWORD, HRESULT, LPCWSTR, void *);HANDLE *",4,msrating.dll
RatingSetupUI,HRESULT,HWND;LPCSTR,2,msrating.dll
RatingSetupUIW,HRESULT,HWND;LPCWSTR,2,msrating.dll
RatingAddToApprovedSites,HRESULT,HWND;DWORD;BYTE *;LPCWSTR;BOOL;BOOL;BOOL,7,msrating.dll
RatingClickedOnPRFInternal,HRESULT,HWND;HINSTANCE;LPSTR;int,4,msrating.dll
RatingClickedOnRATInternal,HRESULT,HWND;HINSTANCE;LPSTR;int,4,msrating.dll
RatingEnabledQuery,HRESULT,,0,msrating.dll
RatingInit,HRESULT,,0,msrating.dll
CreateRecognizer,HRESULT,CLSID *;HRECOGNIZER *,2,inkobjcore.dll
DestroyRecognizer,HRESULT,HRECOGNIZER,1,inkobjcore.dll
GetRecoAttributes,HRESULT,HRECOGNIZER;RECO_ATTRS *,2,inkobjcore.dll
